Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price_INR_Lakhs,Mileage_km_kg,Power_bhp,Car_Age
Mumbai,72000,CNG,Manual,First,5,175000.0,26.6,58.16,9
Pune,41000,Diesel,Manual,First,5,1250000.0,19.67,126.2,4
Chennai,46000,Petrol,Manual,First,5,450000.0,18.2,88.7,8
Chennai,87000,Diesel,Manual,First,7,600000.0,20.77,88.76,7
Coimbatore,40670,Diesel,Automatic,Second,5,1773999.9999999998,15.2,140.8,6
Hyderabad,75000,LPG,Manual,First,5,235000.0,21.1,55.2,7
Jaipur,86999,Diesel,Manual,First,5,350000.0,23.08,63.1,6
Mumbai,36000,Diesel,Automatic,First,8,1750000.0,11.36,171.5,3
Pune,64430,Diesel,Manual,First,5,520000.0,20.54,103.6,6
Chennai,65932,Diesel,Manual,Second,5,195000.0,22.3,74.0,7
Kochi,25692,Petrol,Manual,First,5,995000.0,21.56,103.25,1
Kolkata,60000,Petrol,Automatic,First,5,449000.0,16.8,116.3,7
Jaipur,64424,Diesel,Manual,First,5,560000.0,25.2,74.0,4
Delhi,72000,Diesel,Automatic,First,5,2700000.0,12.7,187.7,5
Pune,85000,Diesel,Automatic,Second,5,1750000.0,0.0,115.0,7
Delhi,110000,Diesel,Manual,First,7,1500000.0,13.5,175.56,5
Kochi,58950,Diesel,Manual,First,5,540000.0,25.8,98.6,3
Jaipur,25000,Diesel,Manual,First,5,599000.0,28.4,74.0,2
Kochi,77469,Diesel,Manual,First,5,634000.0,20.45,83.8,5
Bangalore,78500,Diesel,Automatic,First,5,2800000.0,14.84,167.62,5
Kochi,32982,Diesel,Automatic,First,5,1855000.0,22.69,190.0,5
Bangalore,55392,Diesel,Manual,Second,5,825000.0,23.65,88.5,4
Mumbai,55985,Petrol,Automatic,First,5,2350000.0,13.53,177.01,4
Kolkata,45807,Petrol,Manual,First,5,187000.0,18.5,80.0,9
Kolkata,33000,Petrol,Automatic,First,5,285000.0,14.4,103.6,9
Mumbai,51920,Petrol,Manual,First,5,425000.0,16.8,116.3,7
Hyderabad,54000,Diesel,Manual,First,5,425000.0,23.08,63.1,7
Hyderabad,54000,Petrol,Manual,Second,5,275000.0,20.92,67.1,6
Kochi,37430,Petrol,Manual,First,5,990000.0,17.5,88.7,1
Mumbai,262000,Diesel,Manual,Fourth_Above,7,400000.0,12.8,102.0,12
Bangalore,62000,Diesel,Manual,First,5,775000.0,19.01,108.45,6
Delhi,87615,Petrol,Manual,First,5,675000.0,14.53,138.1,7
Bangalore,72000,Diesel,Automatic,Second,7,1250000.0,11.18,184.0,6
Kolkata,35000,Diesel,Automatic,First,5,1150000.0,12.4,179.5,9
Coimbatore,55431,Petrol,Manual,Second,5,698000.0,16.09,103.5,5
Jaipur,83816,Petrol,Manual,Second,5,185000.0,14.0,64.0,10
Kochi,50075,Diesel,Manual,First,5,863000.0000000001,24.3,88.5,1
Delhi,52000,Petrol,Manual,First,5,485000.0,18.15,82.0,2
Pune,85000,Diesel,Automatic,First,5,2800000.0,11.74,254.8,6
Chennai,62000,Diesel,Manual,First,5,500000.0,22.07,73.9,6
Delhi,90000,Petrol,Manual,Second,5,125000.0,19.7,46.3,11
Kochi,19698,Petrol,Manual,First,4,153000.0,25.4,37.5,5
Coimbatore,22033,Diesel,Manual,First,6,558000.0,25.32,77.0,2
Kochi,35487,Petrol,Manual,First,5,474000.0,18.5,82.9,5
Bangalore,46374,Petrol,Automatic,First,5,885000.0,14.62,149.92,5
Mumbai,52001,Petrol,Automatic,First,5,1011000.0,14.28,138.03,3
Ahmedabad,58005,Diesel,Manual,Second,5,425000.0,14.9,112.2,11
Bangalore,70704,Petrol,Manual,First,7,1095000.0,11.25,163.7,7
Jaipur,75000,Diesel,Manual,First,5,385000.0,24.4,71.0,5
Jaipur,75800,Diesel,Manual,Second,6,550000.0,16.55,105.0,7
Kochi,13648,Diesel,Automatic,First,5,2143000.0,17.11,174.33,4
Delhi,52000,Diesel,Manual,First,5,425000.0,22.9,74.0,5
Kolkata,53000,Diesel,Manual,First,5,330000.0,17.8,75.0,5
Delhi,65650,Diesel,Manual,First,5,385000.0,28.4,74.0,6
Chennai,54000,Petrol,Manual,Third,5,360000.0,18.9,82.0,4
Kolkata,39000,Petrol,Manual,First,5,399000.0,15.04,103.2,4
Kochi,16542,Petrol,Manual,First,5,330000.0,25.17,53.3,2
Kolkata,32000,Petrol,Manual,First,5,207000.0,20.36,78.9,9
Hyderabad,121812,Diesel,Automatic,First,5,775000.0,13.29,147.6,9
Hyderabad,39300,Petrol,Manual,First,5,225000.0,18.2,67.1,9
Mumbai,22000,Diesel,Manual,First,8,1650000.0,13.68,147.8,2
Bangalore,72000,Diesel,Manual,First,5,275000.0,20.0,68.0,9
Delhi,58000,Petrol,Automatic,First,5,2670000.0,11.74,186.0,4
Pune,65000,Diesel,Manual,Second,5,1000000.0,15.8,170.0,8
Chennai,178000,Diesel,Manual,First,5,250000.0,25.0,69.0,3
Jaipur,65664,Diesel,Automatic,First,5,1350000.0,16.55,140.0,7
Mumbai,63000,Petrol,Automatic,Second,5,185000.0,16.4,78.0,12
Coimbatore,15369,Diesel,Automatic,First,5,3567000.0,0.0,194.0,0
Pune,63000,Diesel,Manual,First,7,815000.0,24.52,88.5,3
Mumbai,13000,Diesel,Manual,First,5,1050000.0,22.1,88.7,1
Mumbai,73000,Petrol,Automatic,First,5,1450000.0,8.5,500.0,11
Mumbai,55729,Diesel,Manual,First,7,965000.0,15.1,140.0,4
Kochi,45178,Petrol,Automatic,First,5,348000.0,16.95,78.9,7
Kochi,56066,Diesel,Manual,First,5,692000.0,19.64,108.5,4
Coimbatore,37300,Petrol,Automatic,Second,5,646000.0,16.5,86.8,3
Delhi,56000,Diesel,Automatic,Second,5,2950000.0,18.53,187.74,5
Chennai,230000,Petrol,Manual,Third,8,450000.0,12.4,132.0,13
Hyderabad,104000,Diesel,Manual,First,7,1175000.0,12.8,102.0,7
Jaipur,95100,Diesel,Manual,First,5,375000.0,22.9,74.0,7
Pune,70000,Petrol,Manual,First,5,450000.0,17.57,88.7,2
Kochi,54944,Petrol,Manual,First,5,482000.0,18.0,86.7,3
Hyderabad,70337,Diesel,Manual,First,5,280000.0,20.0,68.0,7
Jaipur,99638,Diesel,Manual,First,5,311000.0,23.2,73.94,6
Delhi,52000,Petrol,Manual,First,5,325000.0,17.8,117.3,10
Delhi,75000,Diesel,Automatic,Second,5,1390000.0,16.73,218.0,8
Pune,95980,Petrol,Manual,First,5,225000.0,20.36,78.9,10
Bangalore,16000,Petrol,Manual,First,5,575000.0,18.9,82.0,3
Mumbai,18949,Petrol,Manual,First,5,500000.0,17.8,86.7,3
Delhi,107000,Diesel,Manual,First,7,1650000.0,13.0,168.5,5
